Year;Salinity;Temperature;Catch;N0.obs;N1.obs;N2.obs;Salinity 2022;Temperature 2022;N2.B2004;N2.Pod;N2.Prot;Catch.upd2024
1950;11.4;11;4.758337892;22;16.69090909;23.20428215;11.4;11.9;NA;NA;NA;4.758337892
1951;11.9;11.6;3.301967237;45;14.69090909;18.97488151;11.9;11.9;NA;NA;NA;3.301967237
1952;11.9;11.4;2.605033312;34;30;15.53462573;11.9;12.2;NA;NA;NA;2.605033312
1953;12.4;11.7;1.848084856;12;18.72727273;15.12567387;12.2;11.4;NA;NA;NA;1.848084856
1954;11.8;11.1;1.557235531;59.375;6.254545455;4.951601172;11.9;11.8;NA;NA;NA;1.557235531
1955;12.3;11.8;2.06810843;32.5;33.56363636;4.164210526;12.3;12.2;NA;NA;NA;2.06810843
1956;11.9;10.3;1.551007103;35.5;18.65454545;22.43614035;11.5;10.7;NA;NA;NA;1.551007103
1957;11.1;11.9;0.513212591;20.875;25.25454545;24.73113853;11;12.1;NA;NA;NA;0.513212591
1958;11.1;10.8;1.680763942;37.75;12.10909091;21.15875814;11.1;11.3;NA;NA;NA;1.680763942
1959;11.3;11.7;1.897955815;17;22.05454545;15.15031505;11.2;10.9;NA;NA;NA;1.897955815
1960;11.6;11.4;2.299168173;74.375;9.018181818;35.20802526;11.4;11.7;NA;NA;NA;2.299168173
1961;11.4;11.9;1.547892793;17.625;51.16363636;18.47720144;11.4;12;NA;NA;NA;1.547892793
1962;11.6;11.8;1.699034026;58.125;9.236363636;23.34741039;11.8;12.2;NA;NA;NA;1.699034026
1963;11.3;11.2;2.084413032;110.875;25.49090909;15.55632444;11.3;11.8;NA;NA;NA;2.084413032
1964;11;10.5;2.859944435;98.375;58.90909091;11.23815676;11.1;11.5;NA;NA;NA;2.859944435
1965;10.9;12.4;2.287955548;43.125;40.6;34.56362005;10.7;11.2;NA;NA;NA;2.287955548
1966;10.8;11.8;2.573949992;12.125;17.41818182;45.789959;10.9;12.6;NA;NA;NA;2.573949992
1967;11.3;11.6;2.819088086;35.875;9.072727273;47.88036041;11.2;12.2;NA;NA;NA;2.819088086
1968;11.1;11.3;4.044778559;36.875;26.18181818;26.17315796;10.9;12;NA;NA;NA;4.044778559
1969;11.8;10.6;3.186795228;34.25;27.50909091;19.11978539;11.8;11.3;NA;NA;NA;3.186795228
1970;11.6;11.6;1.838535708;11.625;16.87272727;24.18896944;11.9;11.7;NA;NA;NA;1.838535708
1971;11.8;11.4;2.165386501;6.5;6.672727273;14.22421483;12.1;11.9;NA;NA;NA;2.165386501
1972;12.3;11.8;1.838535708;12.125;4.909090909;12.13299622;12.2;12.3;NA;NA;NA;1.838535708
1973;12.7;10.8;2.287955548;2;4.654545455;6.238347006;12.6;11.7;NA;NA;NA;2.287955548
1974;12.8;11.7;1.062265076;0.75;1.036363636;4.010624236;12.9;11.9;NA;NA;NA;1.062265076
1975;13.2;11.8;0.776270632;1.75;3.145454545;6.054592506;13.1;12.1;NA;NA;NA;0.776270632
1976;13.8;10.2;0.44941984;10.25;2.472727273;5.542919937;13.7;11.2;NA;NA;NA;0.44941984
1977;13.3;11.4;0.367707142;3.75;3.018181818;8.012035712;13.3;11.7;NA;NA;NA;0.367707142
1978;12.6;11;0.285994444;1.5;6.654545455;11.87470375;12.8;11.4;NA;NA;NA;0.285994444
1979;12;11.6;0.326850793;2;0.654545455;3.4123441;11.8;12.1;NA;NA;NA;0.326850793
1980;12;10.9;0.367707142;2.5;2.909090909;4.517817025;11.8;11.2;NA;NA;NA;0.367707142
1981;11.3;12;0.326850793;3.75;2.494545455;8.410794005;11.1;12.7;NA;NA;NA;0.326850793
1982;10.9;11.8;0.326850793;NA;NA;NA;10.8;11.7;NA;NA;NA;0.326850793
1983;11.2;12.16;NA;NA;NA;NA;11.2;12.2;NA;NA;NA;NA
1984;11.63;11.68;NA;NA;NA;NA;11.8;11.7;NA;NA;NA;NA
1985;11.74;10.87;NA;NA;NA;NA;12;10.9;NA;NA;NA;NA
1986;11.59;11.58;NA;1.9;NA;NA;11.9;11.6;NA;NA;NA;NA
1987;11.46;10.27;2.025333912;2.3;NA;NA;11.6;10.3;NA;NA;NA;2.025333912
1988;11.49;11.3;0.94500027;2.08;NA;NA;11.6;11.3;NA;NA;NA;0.94500027
1989;11.14;12.58;1.673000478;24.69;NA;NA;11.2;12.6;NA;NA;NA;1.673000478
1990;11.36;12.4;1.124666988;114.11;NA;NA;11.5;12.4;10.2;NA;NA;1.231222574
1991;11.24;11.99;0.984666948;36.96;NA;NA;11.3;12;11.7;NA;NA;1.049222522
1992;11.22;11.57;0.75833355;31.19;NA;NA;11.2;11.6;9.3;NA;NA;0.861778024
1993;10.71;10.89;0.543666822;25.24;NA;NA;10.7;10.9;9.9;NA;NA;0.605111284
1994;10.58;12;0.849333576;47.97;NA;NA;10.6;12;11.3;NA;NA;0.91777804
1995;11.02;12.35;1.063222526;5.4;NA;19.4;10.9;12.4;11.5;19.4;NA;1.090444756
1996;10.9;11.75;2.43833403;17.88;NA;20.8;11;11.8;13.8;20.8;NA;2.43833403
1997;11;11.3;NA;29.73;NA;19.7;10.6;11.3;14.7;19.7;NA;2.723778556
1998;9.98;11.88;NA;42.25;NA;29.8;10;11.9;15.5;29.8;NA;2.519222942
1999;10.37;12.34;NA;2.91;NA;34.6;10.4;12.3;18.6;34.6;NA;2.137333944
2000;10.05;12.07;NA;14.92;NA;26.3;10.1;12.1;18.3;26.3;NA;2.630445196
2001;10.45;12.29;NA;1.06;NA;20.3;10.4;12.3;10.6;20.3;NA;NA
2002;10.68;12.67;NA;8.43;NA;8.2;10.7;12.7;6.1;8.2;18.2;0.16333338
2003;10.36;11.67;NA;18.36;NA;5.6;10.4;11.7;NA;5.6;7.93;NA
2004;10.04;12.53;NA;0.2;NA;5.5;10;12.5;NA;5.5;6.22;NA
2005;9.81;12.72;NA;1.7;NA;7.1;9.8;12.7;NA;7.1;4.67;0.2333334
2006;9.29;12.86;NA;0.09;NA;3.9;9.5;12.9;NA;3.9;5.44;NA
2007;9.7;13.55;NA;0.09;NA;2.2;9.7;13.5;NA;2.2;2.57;0.1166667
2008;10.45;13.18;NA;0.08;NA;1.8;10.5;13.2;NA;1.8;2.33;0.14000004
2009;10.38;13.1;NA;NA;NA;NA;10.4;13.1;NA;NA;1.71;0.0777778
2010;11.17;13.49;NA;NA;NA;NA;11.2;13.7;NA;NA;0.39;0.004517334624
2011;11.1;12.12;NA;NA;NA;NA;11.1;12.1;NA;NA;0.47;0.00447611239
2012;11.56;13.22;NA;NA;NA;NA;11.6;13.5;NA;NA;0.41;0.03482500995
2013;11.94;12.95;NA;NA;NA;NA;11.9;13;NA;NA;0.62;0.077632355514
2014;12.44;12;NA;NA;NA;NA;12.4;12.5;NA;NA;0.43;0.038360788738
2015;13.24;12.67;NA;NA;NA;NA;13.2;13;NA;NA;0.35;0.033101453902
2016;13.76;12.8;NA;NA;NA;NA;13.8;12.8;NA;NA;0.27;0.077836911128
2017;13.9;12.8;NA;NA;NA;NA;13.9;12.8;NA;NA;0.27;0.02333334
2018;13.9;12.9;NA;NA;NA;NA;13.9;12.9;NA;NA;0.25;0.02333334
2019;14;13.3;NA;NA;NA;NA;14;13.3;NA;NA;NA;NA
2020;14.8;13.2;NA;NA;NA;NA;14.8;13.2;NA;NA;NA;NA
2021;15;12.4;NA;NA;NA;NA;15;12.4;NA;NA;NA;NA
2022;14.6;12.2;NA;NA;NA;NA;14.6;12.2;NA;NA;NA;NA
